epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.708,1.86246,1.46589,1.49877,0.65419,0.62518,0.66595,0.32486,1.79327,2.42376,1.49025,0.0670747,0.000332579,0.000332579
2,232.41,1.62428,1.08524,1.38095,0.82176,0.77866,0.84951,0.48735,1.59589,0.97946,1.31496,0.0340615,0.000652727,0.000652727
3,347.359,1.51571,0.96708,1.3258,0.85869,0.80186,0.87538,0.48026,1.59323,0.91698,1.33694,0.00103509,0.000959676,0.000959676
4,460.197,1.47509,0.91221,1.29636,0.89017,0.88816,0.93161,0.53592,1.52234,0.75539,1.25823,0.0009406,0.0009406,0.0009406
5,574.681,1.41517,0.84629,1.26616,0.90726,0.84745,0.926,0.56844,1.42023,0.79289,1.23817,0.0009208,0.0009208,0.0009208
6,687.281,1.36753,0.80909,1.23969,0.92169,0.91998,0.9607,0.62919,1.28118,0.67972,1.16812,0.000901,0.000901,0.000901
7,800.392,1.33006,0.77177,1.21788,0.93259,0.91927,0.95923,0.56488,1.49638,0.6795,1.25299,0.0008812,0.0008812,0.0008812
8,913.11,1.30415,0.75061,1.20761,0.92815,0.90875,0.96777,0.64263,1.25793,0.62125,1.1459,0.0008614,0.0008614,0.0008614
9,1027.59,1.27511,0.72543,1.19176,0.9371,0.91343,0.95951,0.63982,1.23963,0.63834,1.13232,0.0008416,0.0008416,0.0008416
10,1139.45,1.2494,0.7065,1.18084,0.9358,0.93444,0.9686,0.645,1.2666,0.61255,1.14117,0.0008218,0.0008218,0.0008218
11,1253.27,1.24043,0.6946,1.17327,0.92401,0.93888,0.95928,0.67867,1.1333,0.55981,1.11015,0.000802,0.000802,0.000802
12,1365.89,1.20772,0.67748,1.16128,0.94463,0.94525,0.97196,0.69707,1.10136,0.52622,1.08354,0.0007822,0.0007822,0.0007822
13,1479.53,1.20058,0.66459,1.15299,0.94574,0.93791,0.9678,0.66989,1.17544,0.56126,1.09954,0.0007624,0.0007624,0.0007624
14,1592.63,1.19203,0.65454,1.1528,0.95935,0.93861,0.9749,0.71785,1.0528,0.52468,1.05509,0.0007426,0.0007426,0.0007426
15,1705.67,1.17021,0.63964,1.13638,0.94896,0.95087,0.97156,0.71803,1.02043,0.51118,1.04813,0.0007228,0.0007228,0.0007228
16,1818.24,1.15498,0.63122,1.13224,0.96344,0.94939,0.9804,0.72382,1.03779,0.50288,1.0519,0.000703,0.000703,0.000703
17,1930.89,1.14555,0.62201,1.12796,0.96615,0.95695,0.9827,0.72303,1.0352,0.4855,1.04613,0.0006832,0.0006832,0.0006832
18,2044.93,1.14044,0.61998,1.12208,0.9584,0.95788,0.98353,0.73337,1.01585,0.4816,1.03476,0.0006634,0.0006634,0.0006634
19,2157.43,1.12701,0.6054,1.11813,0.96051,0.956,0.98167,0.73444,0.99078,0.4819,1.0347,0.0006436,0.0006436,0.0006436
20,2270.03,1.11275,0.59666,1.10773,0.96187,0.96397,0.98626,0.73616,1.03614,0.47782,1.043,0.0006238,0.0006238,0.0006238
21,2381.49,1.09889,0.58689,1.09942,0.96617,0.96232,0.98801,0.75242,0.97252,0.45922,1.02677,0.000604,0.000604,0.000604
22,2495.04,1.09291,0.5808,1.09897,0.96978,0.96105,0.98676,0.73631,1.02327,0.4572,1.04023,0.0005842,0.0005842,0.0005842
23,2607.1,1.08501,0.57497,1.09446,0.96572,0.96678,0.98839,0.74327,1.01011,0.45263,1.03756,0.0005644,0.0005644,0.0005644
24,2720.59,1.0726,0.56634,1.0889,0.96331,0.95835,0.98753,0.75677,0.91598,0.44898,1.01088,0.0005446,0.0005446,0.0005446
25,2833.84,1.07248,0.5649,1.08834,0.96508,0.96397,0.98816,0.75999,0.94837,0.43882,1.00772,0.0005248,0.0005248,0.0005248
26,2947.81,1.05737,0.55743,1.07848,0.97387,0.9594,0.98928,0.7738,0.89444,0.42579,0.99747,0.000505,0.000505,0.000505
27,3060.47,1.04904,0.55013,1.07705,0.97762,0.97239,0.99127,0.77067,0.94583,0.42178,1.01093,0.0004852,0.0004852,0.0004852
28,3173.13,1.04577,0.54661,1.07405,0.97181,0.96865,0.99164,0.77759,0.88631,0.41625,0.99333,0.0004654,0.0004654,0.0004654
29,3285.96,1.03361,0.53746,1.0685,0.97652,0.96818,0.99115,0.78192,0.87887,0.4095,0.98523,0.0004456,0.0004456,0.0004456
30,3398.9,1.02636,0.53103,1.06354,0.97772,0.96497,0.9912,0.78202,0.90375,0.40647,0.99747,0.0004258,0.0004258,0.0004258
31,3511.54,1.02034,0.52994,1.06239,0.97913,0.97052,0.99099,0.78972,0.8742,0.39972,0.99305,0.000406,0.000406,0.000406
32,3623.13,1.01175,0.52167,1.05944,0.98061,0.97567,0.99294,0.7784,0.91818,0.4025,1.00379,0.0003862,0.0003862,0.0003862
33,3735.27,1.00774,0.51776,1.05227,0.97751,0.97801,0.99238,0.78545,0.89054,0.39772,0.99317,0.0003664,0.0003664,0.0003664
34,3848.42,0.98815,0.5136,1.04601,0.97799,0.97714,0.99256,0.79079,0.86367,0.39073,0.98278,0.0003466,0.0003466,0.0003466
35,3959.73,0.97899,0.50636,1.04108,0.98026,0.98035,0.99371,0.79192,0.86231,0.3872,0.98259,0.0003268,0.0003268,0.0003268
36,4072.3,0.97572,0.50023,1.03916,0.98353,0.97821,0.99346,0.79723,0.85696,0.38145,0.98125,0.000307,0.000307,0.000307
37,4184.4,0.97036,0.49483,1.03625,0.98411,0.97847,0.99351,0.80448,0.83902,0.37613,0.97548,0.0002872,0.0002872,0.0002872
38,4296.77,0.96437,0.49012,1.03366,0.98498,0.98175,0.99348,0.80316,0.83759,0.37175,0.97299,0.0002674,0.0002674,0.0002674
39,4409.89,0.95646,0.48571,1.02982,0.98632,0.97863,0.99339,0.80622,0.83147,0.36883,0.97142,0.0002476,0.0002476,0.0002476
40,4522.86,0.94676,0.4772,1.02423,0.98443,0.98222,0.99372,0.80576,0.82376,0.36564,0.96992,0.0002278,0.0002278,0.0002278
41,4613.21,0.77172,0.36481,0.94404,0.98496,0.98098,0.99326,0.80749,0.81346,0.36539,0.96643,0.000208,0.000208,0.000208
42,4701.01,0.74971,0.35188,0.93644,0.98549,0.98511,0.99343,0.81066,0.81831,0.36222,0.96422,0.0001882,0.0001882,0.0001882
43,4788.4,0.73295,0.34276,0.9296,0.98819,0.98596,0.9937,0.8185,0.8025,0.35745,0.96047,0.0001684,0.0001684,0.0001684
44,4875.97,0.71742,0.33626,0.92376,0.98905,0.9883,0.99387,0.81868,0.80035,0.35404,0.95964,0.0001486,0.0001486,0.0001486
45,4962.92,0.70595,0.33052,0.9154,0.9851,0.9869,0.99375,0.81757,0.80182,0.35383,0.95817,0.0001288,0.0001288,0.0001288
46,5050.1,0.69316,0.3246,0.91219,0.98459,0.98783,0.99385,0.82266,0.7879,0.34857,0.95275,0.000109,0.000109,0.000109
47,5136.85,0.68134,0.31885,0.90937,0.98552,0.9873,0.99421,0.82586,0.7859,0.34749,0.95247,8.92e-05,8.92e-05,8.92e-05
48,5223.5,0.67101,0.3147,0.90503,0.98691,0.98781,0.99428,0.82818,0.78617,0.34737,0.95431,6.94e-05,6.94e-05,6.94e-05
49,5310.94,0.66386,0.31024,0.90125,0.98686,0.98373,0.99416,0.82979,0.78096,0.34643,0.9527,4.96e-05,4.96e-05,4.96e-05
50,5398.29,0.65024,0.30578,0.89679,0.98974,0.98549,0.99424,0.83008,0.77839,0.34499,0.95231,2.98e-05,2.98e-05,2.98e-05
1,60.495,2.04107,1.77131,1.5766,0.44708,0.47193,0.43607,0.1527,2.31153,2.9799,1.76191,0.0671618,0.000331699,0.000331699
2,119.889,1.84884,1.33444,1.46485,0.71699,0.64714,0.7077,0.34125,1.80019,1.29353,1.4414,0.0341486,0.000651865,0.000651865
3,179.838,1.74198,1.23205,1.3945,0.80189,0.65333,0.76819,0.36292,1.87626,1.15204,1.4774,0.00112223,0.000958831,0.000958831
4,240.193,1.71435,1.17752,1.38657,0.83599,0.72807,0.83627,0.45967,1.63947,0.98995,1.38223,0.0009406,0.0009406,0.0009406
5,301.388,1.66365,1.12347,1.35259,0.78419,0.73088,0.80424,0.43348,1.61513,1.04607,1.34624,0.0009208,0.0009208,0.0009208
6,361.652,1.6188,1.07088,1.32041,0.85165,0.74528,0.84503,0.46885,1.56308,0.93665,1.33447,0.000901,0.000901,0.000901
7,420.945,1.57814,1.02522,1.30604,0.89556,0.77088,0.88011,0.46405,1.67328,0.94332,1.34733,0.0008812,0.0008812,0.0008812
