epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.21279,0,214.164,0,0,0,0,0,0,29.7773,0,0.08416,0.00016,0.00016
1,115.88,1.86246,1.46589,1.49877,0.65419,0.62518,0.66595,0.32486,1.79327,2.42376,1.49025,0.0670747,0.000332579,0.000332579
2,229.639,1.62005,1.09218,1.37892,0.78976,0.76467,0.81492,0.45185,1.65423,1.07489,1.3468,0.0340681,0.00065932,0.00065932
3,343.613,1.51574,0.96483,1.32422,0.81977,0.83014,0.87955,0.50321,1.53429,0.86457,1.30627,0.00105488,0.000979461,0.000979461
4,457.531,1.48296,0.92354,1.29845,0.87446,0.88981,0.92052,0.51032,1.58008,0.77196,1.30465,0.0009703,0.0009703,0.0009703
5,571.063,1.42532,0.86218,1.27215,0.91338,0.88815,0.94729,0.5964,1.34541,0.7229,1.18525,0.0009604,0.0009604,0.0009604
6,683.442,1.37534,0.815,1.23882,0.91266,0.89331,0.94624,0.62702,1.26108,0.67695,1.1577,0.0009505,0.0009505,0.0009505
7,795.894,1.33851,0.77914,1.21986,0.93469,0.92092,0.96313,0.60993,1.33824,0.62612,1.18834,0.0009406,0.0009406,0.0009406
8,909.092,1.31187,0.75874,1.20887,0.93461,0.92973,0.96288,0.51075,1.68144,0.69914,1.33112,0.0009307,0.0009307,0.0009307
9,1021.2,1.28455,0.739,1.19688,0.92877,0.92279,0.95995,0.5836,1.45022,0.7096,1.22596,0.0009208,0.0009208,0.0009208
10,1134.03,1.26278,0.71907,1.18616,0.94349,0.9375,0.97684,0.64051,1.26405,0.60155,1.13742,0.0009109,0.0009109,0.0009109
11,1247.72,1.25394,0.70358,1.17746,0.92548,0.92934,0.96312,0.67866,1.12969,0.57938,1.11136,0.000901,0.000901,0.000901
12,1360.52,1.22678,0.68712,1.1718,0.94226,0.92398,0.96796,0.67702,1.1622,0.55929,1.10806,0.0008911,0.0008911,0.0008911
13,1473.45,1.22188,0.67871,1.16475,0.94328,0.93589,0.96873,0.68128,1.14248,0.5516,1.09664,0.0008812,0.0008812,0.0008812
14,1585.86,1.21327,0.67178,1.1608,0.94929,0.94057,0.97369,0.69969,1.07418,0.53199,1.07293,0.0008713,0.0008713,0.0008713
15,1699.1,1.18598,0.65504,1.14176,0.95446,0.93683,0.97367,0.70945,1.049,0.53283,1.06239,0.0008614,0.0008614,0.0008614
16,1811.23,1.17736,0.64985,1.14323,0.95676,0.94385,0.97483,0.69307,1.10619,0.521,1.07839,0.0008515,0.0008515,0.0008515
17,1924.19,1.17059,0.64285,1.14032,0.95719,0.96261,0.98276,0.67939,1.15239,0.51918,1.08504,0.0008416,0.0008416,0.0008416
18,2038.18,1.16056,0.63617,1.13449,0.95772,0.95396,0.98007,0.70709,1.06934,0.50418,1.0647,0.0008317,0.0008317,0.0008317
19,2150.85,1.15142,0.62337,1.13017,0.95742,0.95087,0.97975,0.73215,1.01493,0.50006,1.05585,0.0008218,0.0008218,0.0008218
20,2263.47,1.14141,0.62083,1.12626,0.96453,0.95882,0.98377,0.7243,1.0491,0.48652,1.05728,0.0008119,0.0008119,0.0008119
21,2375.08,1.12527,0.60921,1.11531,0.96994,0.96642,0.98741,0.73935,1.03968,0.46602,1.05129,0.000802,0.000802,0.000802
22,2487.65,1.12428,0.60479,1.1152,0.96599,0.95788,0.98243,0.73778,1.01561,0.46686,1.04443,0.0007921,0.0007921,0.0007921
23,2599.92,1.12067,0.60127,1.11335,0.97671,0.96151,0.98561,0.74049,1.00416,0.46216,1.04747,0.0007822,0.0007822,0.0007822
24,2711.99,1.10781,0.59344,1.10716,0.97308,0.96407,0.9855,0.75167,0.94856,0.45184,1.02729,0.0007723,0.0007723,0.0007723
25,2824.21,1.10803,0.59204,1.10781,0.96853,0.96818,0.98715,0.7511,0.98888,0.45069,1.03268,0.0007624,0.0007624,0.0007624
26,2936.98,1.09891,0.58397,1.10101,0.96948,0.96444,0.98595,0.761,0.9304,0.44611,1.0147,0.0007525,0.0007525,0.0007525
27,3049.17,1.09138,0.58308,1.0993,0.97787,0.97005,0.99126,0.75691,0.97335,0.43829,1.02886,0.0007426,0.0007426,0.0007426
28,3161.19,1.09031,0.57608,1.09664,0.96675,0.97239,0.98895,0.76494,0.93085,0.43538,1.01354,0.0007327,0.0007327,0.0007327
29,3273,1.08053,0.57242,1.09389,0.97375,0.97239,0.98885,0.77093,0.91619,0.42634,1.00306,0.0007228,0.0007228,0.0007228
30,3385.07,1.07454,0.56633,1.08818,0.97957,0.96487,0.99003,0.76835,0.92598,0.42376,1.01142,0.0007129,0.0007129,0.0007129
31,3497.59,1.06769,0.56652,1.08864,0.9745,0.97286,0.99061,0.76861,0.92375,0.41849,1.00849,0.000703,0.000703,0.000703
32,3609.88,1.0642,0.55964,1.08618,0.97862,0.96388,0.99061,0.77315,0.93066,0.41601,1.00555,0.0006931,0.0006931,0.0006931
33,3722.82,1.06286,0.56079,1.08378,0.97071,0.97687,0.98939,0.77926,0.91247,0.41543,1.00222,0.0006832,0.0006832,0.0006832
34,3835.04,1.04635,0.55332,1.07593,0.9797,0.97426,0.98927,0.78447,0.88001,0.40705,0.99361,0.0006733,0.0006733,0.0006733
35,3946.93,1.04589,0.55141,1.07432,0.97708,0.97731,0.99068,0.77037,0.92523,0.41175,1.00921,0.0006634,0.0006634,0.0006634
36,4059.35,1.04052,0.54398,1.07142,0.97929,0.97349,0.99096,0.77215,0.9162,0.4099,0.99937,0.0006535,0.0006535,0.0006535
37,4171.57,1.03666,0.54185,1.07008,0.9784,0.97487,0.99199,0.78391,0.9017,0.40777,0.99902,0.0006436,0.0006436,0.0006436
38,4283.26,1.03365,0.53992,1.07142,0.97629,0.97801,0.98917,0.79206,0.86556,0.39869,0.99238,0.0006337,0.0006337,0.0006337
39,4395.74,1.03141,0.53719,1.06768,0.97806,0.98042,0.99215,0.78813,0.88154,0.39546,0.99566,0.0006238,0.0006238,0.0006238
40,4508.28,1.01915,0.52619,1.05982,0.97893,0.97824,0.9911,0.79291,0.85892,0.39354,0.98738,0.0006139,0.0006139,0.0006139
41,4619.86,1.02052,0.53095,1.06221,0.9808,0.98008,0.99193,0.79357,0.86292,0.38907,0.9838,0.000604,0.000604,0.000604
42,4732.87,1.01266,0.52601,1.06086,0.98366,0.97988,0.99248,0.80126,0.84142,0.38468,0.97802,0.0005941,0.0005941,0.0005941
43,4845.46,1.00971,0.52189,1.05636,0.98222,0.9823,0.99269,0.80046,0.84951,0.38445,0.98186,0.0005842,0.0005842,0.0005842
44,4956.61,1.00818,0.51948,1.05938,0.98584,0.97726,0.99306,0.80331,0.84557,0.37963,0.98145,0.0005743,0.0005743,0.0005743
45,5068.79,0.99573,0.51989,1.05404,0.9842,0.9766,0.99272,0.80655,0.83794,0.38076,0.97655,0.0005644,0.0005644,0.0005644
46,5182.71,1.0062,0.51959,1.05663,0.98276,0.97754,0.99262,0.80531,0.83632,0.3763,0.97551,0.0005545,0.0005545,0.0005545
