epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.065,1.87942,1.53612,1.52286,0.75041,0.60646,0.70201,0.36991,1.76942,1.36164,1.50402,0.0670747,0.000332579,0.000332579
2,233.461,1.63659,1.08164,1.39285,0.839,0.83107,0.86097,0.44289,1.74566,0.92135,1.39096,0.0340615,0.000652727,0.000652727
3,347.382,1.52313,0.95679,1.33688,0.81471,0.81703,0.867,0.51444,1.48795,0.92424,1.29579,0.00103509,0.000959676,0.000959676
4,461.597,1.48438,0.90599,1.31003,0.89943,0.88721,0.94054,0.54907,1.51304,0.74299,1.26807,0.0009406,0.0009406,0.0009406
5,576.417,1.41941,0.84889,1.27603,0.90494,0.88301,0.94794,0.58931,1.38638,0.70751,1.22653,0.0009208,0.0009208,0.0009208
6,687.78,1.37478,0.80817,1.24832,0.91684,0.89658,0.95364,0.62762,1.27333,0.6907,1.16547,0.000901,0.000901,0.000901
7,799.836,1.32685,0.76667,1.22204,0.9374,0.90454,0.95642,0.631,1.2433,0.64782,1.15131,0.0008812,0.0008812,0.0008812
8,912.632,1.3037,0.74314,1.21023,0.94243,0.93308,0.96617,0.60519,1.38976,0.66168,1.19971,0.0008614,0.0008614,0.0008614
9,1025.64,1.27713,0.72484,1.19588,0.93065,0.94189,0.9669,0.65666,1.20479,0.61606,1.12612,0.0008416,0.0008416,0.0008416
10,1138.37,1.25112,0.70294,1.18413,0.94007,0.95421,0.97224,0.66506,1.20332,0.57531,1.12537,0.0008218,0.0008218,0.0008218
11,1251.05,1.24563,0.69209,1.18071,0.94782,0.927,0.97483,0.685,1.15771,0.56635,1.12292,0.000802,0.000802,0.000802
12,1364.15,1.21644,0.67595,1.1744,0.94121,0.93643,0.97078,0.69065,1.10273,0.55754,1.0895,0.0007822,0.0007822,0.0007822
13,1476.29,1.21049,0.6639,1.16325,0.96405,0.94572,0.97338,0.68284,1.15126,0.5478,1.09842,0.0007624,0.0007624,0.0007624
14,1589.24,1.19528,0.6537,1.15894,0.94342,0.95192,0.96893,0.70248,1.04866,0.54011,1.06003,0.0007426,0.0007426,0.0007426
15,1701.09,1.1714,0.63876,1.14346,0.95625,0.95114,0.97312,0.71406,1.03258,0.51827,1.05875,0.0007228,0.0007228,0.0007228
16,1814.43,1.15758,0.63259,1.13765,0.95067,0.94946,0.97416,0.72152,1.04584,0.51325,1.05348,0.000703,0.000703,0.000703
17,1926.86,1.14897,0.62362,1.13211,0.96782,0.95508,0.97958,0.71656,1.04365,0.49073,1.05814,0.0006832,0.0006832,0.0006832
18,2039.74,1.14031,0.61758,1.12684,0.96268,0.9518,0.9801,0.73063,1.00909,0.4984,1.04465,0.0006634,0.0006634,0.0006634
19,2153.46,1.12745,0.60186,1.11932,0.95713,0.95835,0.97476,0.72329,1.01151,0.49148,1.04303,0.0006436,0.0006436,0.0006436
20,2265.59,1.11725,0.5931,1.11688,0.95586,0.96262,0.98311,0.7384,1.00155,0.48195,1.04655,0.0006238,0.0006238,0.0006238
21,2377.49,1.09948,0.58458,1.10427,0.96718,0.96543,0.98475,0.74849,0.98982,0.45773,1.03462,0.000604,0.000604,0.000604
22,2489.59,1.0966,0.57826,1.10413,0.96807,0.96477,0.9854,0.73792,1.015,0.45219,1.04056,0.0005842,0.0005842,0.0005842
23,2602.94,1.09204,0.57404,1.09895,0.97215,0.96256,0.98708,0.74145,0.99565,0.45371,1.03819,0.0005644,0.0005644,0.0005644
24,2715.46,1.07522,0.56699,1.09342,0.97058,0.97256,0.98876,0.75894,0.94974,0.44319,1.01876,0.0005446,0.0005446,0.0005446
25,2828.75,1.07111,0.56257,1.09183,0.95648,0.96666,0.98277,0.75192,0.94967,0.45092,1.01377,0.0005248,0.0005248,0.0005248
26,2940.81,1.06217,0.55462,1.08666,0.96353,0.97665,0.98745,0.76225,0.93158,0.4295,1.0119,0.000505,0.000505,0.000505
27,3052.75,1.05096,0.55254,1.08233,0.96661,0.97333,0.98673,0.76227,0.9328,0.43087,1.01632,0.0004852,0.0004852,0.0004852
28,3165.51,1.04702,0.54591,1.08022,0.96824,0.97008,0.98767,0.77369,0.91274,0.42097,1.00645,0.0004654,0.0004654,0.0004654
29,3277.78,1.03483,0.54012,1.07376,0.96517,0.97099,0.98736,0.7741,0.90537,0.42441,1.00041,0.0004456,0.0004456,0.0004456
30,3390.41,1.03151,0.53383,1.06933,0.96818,0.9766,0.99047,0.77674,0.90923,0.40789,0.99952,0.0004258,0.0004258,0.0004258
31,3504.17,1.01754,0.53063,1.0677,0.9766,0.97754,0.99035,0.78573,0.89241,0.39904,1.0009,0.000406,0.000406,0.000406
32,3616.4,1.01385,0.52371,1.06346,0.97175,0.98174,0.99024,0.78411,0.89246,0.39774,0.99907,0.0003862,0.0003862,0.0003862
33,3731.07,1.00835,0.5173,1.05952,0.97613,0.97576,0.99058,0.78106,0.9042,0.39726,1.00298,0.0003664,0.0003664,0.0003664
34,3843.1,0.99112,0.51352,1.0534,0.97749,0.97522,0.98935,0.79246,0.86548,0.39115,0.98939,0.0003466,0.0003466,0.0003466
35,3955.53,0.97923,0.50547,1.04587,0.97714,0.98128,0.99109,0.78728,0.88571,0.39402,0.99627,0.0003268,0.0003268,0.0003268
36,4067.77,0.97982,0.50136,1.04595,0.98092,0.98035,0.99101,0.79803,0.85223,0.38716,0.98242,0.000307,0.000307,0.000307
37,4180.48,0.97149,0.49677,1.04186,0.97582,0.98185,0.99115,0.79537,0.85737,0.38536,0.98339,0.0002872,0.0002872,0.0002872
38,4293.02,0.96517,0.49151,1.03794,0.97806,0.9806,0.99051,0.79215,0.86777,0.38222,0.9882,0.0002674,0.0002674,0.0002674
39,4407.14,0.95831,0.48785,1.03603,0.97855,0.98202,0.99144,0.79946,0.84874,0.37334,0.98134,0.0002476,0.0002476,0.0002476
40,4519.23,0.94643,0.47768,1.02682,0.97901,0.98205,0.99084,0.79866,0.84878,0.37366,0.98423,0.0002278,0.0002278,0.0002278
41,4608.99,0.77669,0.36475,0.94969,0.98177,0.98259,0.99103,0.80031,0.84504,0.37334,0.97991,0.000208,0.000208,0.000208
42,4696.67,0.74975,0.35247,0.93857,0.98271,0.98407,0.99171,0.8058,0.83338,0.36872,0.97353,0.0001882,0.0001882,0.0001882
43,4784.07,0.73652,0.34502,0.92941,0.97886,0.98596,0.99229,0.8103,0.82067,0.36257,0.96821,0.0001684,0.0001684,0.0001684
44,4871.42,0.72015,0.33824,0.92619,0.97728,0.98621,0.99205,0.81196,0.82358,0.36245,0.96983,0.0001486,0.0001486,0.0001486
45,4958.48,0.71324,0.33269,0.92065,0.97929,0.98596,0.99205,0.81419,0.81797,0.36059,0.97075,0.0001288,0.0001288,0.0001288
46,5045.74,0.6935,0.32565,0.91489,0.98228,0.98409,0.9924,0.81777,0.80665,0.35679,0.96818,0.000109,0.000109,0.000109
47,5133.48,0.68222,0.31881,0.91084,0.98276,0.98694,0.99265,0.81797,0.79704,0.35259,0.96364,8.92e-05,8.92e-05,8.92e-05
48,5220.58,0.67109,0.31586,0.90722,0.98234,0.98737,0.99261,0.81919,0.79734,0.35135,0.96405,6.94e-05,6.94e-05,6.94e-05
49,5307.49,0.66273,0.31007,0.90226,0.98417,0.98783,0.99265,0.82156,0.79007,0.34912,0.96238,4.96e-05,4.96e-05,4.96e-05
50,5394.46,0.65233,0.30629,0.89905,0.98098,0.98944,0.99256,0.82148,0.78902,0.34831,0.96211,2.98e-05,2.98e-05,2.98e-05
1,114.875,1.87942,1.53612,1.52286,0.75041,0.60646,0.70201,0.36991,1.76942,1.36164,1.50402,0.0670747,0.000332579,0.000332579
2,229.553,1.62911,1.07641,1.38241,0.84659,0.82078,0.85169,0.40489,1.94503,0.91495,1.51011,0.0340417,0.00063295,0.00063295
3,344.563,1.51089,0.94741,1.322,0.82798,0.81535,0.87705,0.52264,1.48819,0.89379,1.31261,0.000975735,0.000900321,0.000900321
4,457.448,1.47224,0.90006,1.29609,0.89533,0.8643,0.93311,0.58273,1.3895,0.79292,1.2356,0.0008515,0.0008515,0.0008515
5,570.571,1.40209,0.83022,1.25957,0.88303,0.85728,0.92802,0.56519,1.4811,0.76723,1.26484,0.000802,0.000802,0.000802
6,682.795,1.34723,0.78438,1.22707,0.9087,0.89939,0.95019,0.63341,1.22745,0.66978,1.15695,0.0007525,0.0007525,0.0007525
7,798.189,1.30422,0.74679,1.20608,0.9332,0.90214,0.96084,0.63795,1.25476,0.62189,1.15715,0.000703,0.000703,0.000703
8,911.471,1.27444,0.71989,1.18992,0.94217,0.94244,0.97219,0.64931,1.26416,0.5958,1.14356,0.0006535,0.0006535,0.0006535
9,1024.57,1.23616,0.69,1.16941,0.93034,0.94385,0.96301,0.63051,1.28405,0.59002,1.1507,0.000604,0.000604,0.000604
10,1137.13,1.21332,0.66836,1.15905,0.93718,0.96022,0.97527,0.66425,1.19941,0.56557,1.10994,0.0005545,0.0005545,0.0005545
11,1227.54,1.06224,0.52798,1.09221,0.95579,0.94075,0.9738,0.68534,1.14626,0.54765,1.10288,0.000505,0.000505,0.000505
12,1314.65,1.01435,0.49459,1.06833,0.95664,0.94853,0.97979,0.70145,1.11141,0.54017,1.08797,0.0004555,0.0004555,0.0004555
13,1402,0.98435,0.48035,1.0565,0.97433,0.95908,0.98305,0.71698,1.043,0.4906,1.06077,0.000406,0.000406,0.000406
14,1488.96,0.94047,0.45431,1.03258,0.96647,0.9649,0.97958,0.71366,1.06406,0.48859,1.05942,0.0003565,0.0003565,0.0003565
15,1577.35,0.91146,0.43774,1.0189,0.96372,0.96069,0.98404,0.74507,0.97103,0.46694,1.0352,0.000307,0.000307,0.000307
16,1664.46,0.87926,0.42059,1.00074,0.97575,0.96069,0.98745,0.74276,1.01485,0.45088,1.04298,0.0002575,0.0002575,0.0002575
17,1751.73,0.84911,0.4009,0.98679,0.97458,0.96888,0.98993,0.77663,0.90693,0.42641,1.00315,0.000208,0.000208,0.000208
18,1838.66,0.82065,0.38722,0.97245,0.97527,0.97192,0.98914,0.77524,0.91012,0.41569,1.00811,0.0001585,0.0001585,0.0001585
19,1926.16,0.79504,0.37357,0.96235,0.98017,0.97156,0.99048,0.77526,0.92047,0.41083,1.00247,0.000109,0.000109,0.000109
20,2012.36,0.76981,0.36263,0.9519,0.97754,0.97746,0.98957,0.78322,0.88166,0.39933,0.99394,5.95e-05,5.95e-05,5.95e-05
1,90.4611,1.83101,1.40783,1.49557,0.58527,0.61282,0.63516,0.3103,1.8525,1.3317,1.45672,0.0670747,0.000332579,0.000332579
2,178.012,1.56571,0.9234,1.34135,0.81879,0.83622,0.86465,0.49291,1.54879,0.92902,1.27857,0.0340087,0.000599987,0.000599987
3,266.304,1.44209,0.80344,1.27323,0.8542,0.83388,0.89877,0.50136,1.63626,0.90363,1.30889,0.00087681,0.000801395,0.000801395
4,353.758,1.36377,0.73213,1.2279,0.90573,0.86326,0.93137,0.52758,1.62279,0.75848,1.30114,0.000703,0.000703,0.000703
5,441.521,1.25803,0.65803,1.17376,0.87862,0.91624,0.93777,0.56314,1.49039,0.71465,1.24313,0.000604,0.000604,0.000604
6,529.065,1.16484,0.59376,1.12722,0.92814,0.91873,0.95666,0.63208,1.27565,0.63708,1.12384,0.000505,0.000505,0.000505
7,616.486,1.09286,0.54573,1.09163,0.91266,0.94478,0.95641,0.63267,1.26025,0.61686,1.14968,0.000406,0.000406,0.000406
8,703.556,1.03607,0.50523,1.0655,0.94609,0.95321,0.97382,0.68077,1.1557,0.55724,1.09853,0.000307,0.000307,0.000307
9,791.619,0.96803,0.46842,1.03027,0.95374,0.96478,0.98395,0.73102,1.00995,0.50291,1.0395,0.000208,0.000208,0.000208
10,879.087,0.91299,0.43492,1.00604,0.95992,0.97707,0.98577,0.74127,0.98585,0.46705,1.02475,0.000109,0.000109,0.000109
